measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South East England,Both,All ages,Cardiovascular diseases,Number,2009,24016.1599,25489.41365,21343.04454
Deaths,South East England,Male,All ages,Cardiovascular diseases,Rate,2009,269.162228,281.904121,249.3554181
Deaths,South East England,Female,All ages,Cardiovascular diseases,Rate,2009,288.5045009,311.6999471,246.4503527
Deaths,South East England,Both,All ages,Cardiovascular diseases,Rate,2009,279.006673,296.1221332,247.9518738
Deaths,South East England,Male,Age-standardized,Cardiovascular diseases,Rate,2009,164.7526442,172.5482189,152.4004404
Deaths,South East England,Female,Age-standardized,Cardiovascular diseases,Rate,2009,106.3319258,113.7452886,92.84812071
Deaths,South East England,Both,Age-standardized,Cardiovascular diseases,Rate,2009,132.6952967,139.9560907,119.3425953
Deaths,South East England,Male,All ages,Nutritional deficiencies,Number,2009,6.226691252,6.615629263,5.686262699
Deaths,South East England,Female,All ages,Nutritional deficiencies,Number,2009,11.10358194,12.23310775,9.422439924
Deaths,South East England,Both,All ages,Nutritional deficiencies,Number,2009,17.33027319,18.74471132,15.15116747
Deaths,South East England,Male,All ages,Nutritional deficiencies,Rate,2009,0.147316559,0.156518397,0.134530623
Deaths,South East England,Female,All ages,Nutritional deficiencies,Rate,2009,0.253448892,0.279231299,0.215075367
Deaths,South East England,Both,All ages,Nutritional deficiencies,Rate,2009,0.201333681,0.217765853,0.176018016
Deaths,South East England,Male,Age-standardized,Nutritional deficiencies,Rate,2009,0.096317826,0.101961426,0.088292513
Deaths,South East England,Female,Age-standardized,Nutritional deficiencies,Rate,2009,0.099947302,0.108072956,0.088059775
Deaths,South East England,Both,Age-standardized,Nutritional deficiencies,Rate,2009,0.099042648,0.105842619,0.088500055
Deaths,South East England,Male,All ages,Digestive diseases,Number,2009,1716.904423,1786.856919,1622.095951
Deaths,South East England,Female,All ages,Digestive diseases,Number,2009,2075.813866,2220.906432,1811.273332
Deaths,South East England,Both,All ages,Digestive diseases,Number,2009,3792.718289,3987.975908,3436.965864
Deaths,South East England,Male,All ages,Digestive diseases,Rate,2009,40.62004051,42.27503842,38.37697799
Deaths,South East England,Female,All ages,Digestive diseases,Rate,2009,47.38225259,50.69411632,41.34388539
Deaths,South East England,Both,All ages,Digestive diseases,Rate,2009,44.06173659,46.33013333,39.92879856
Deaths,South East England,Male,Age-standardized,Digestive diseases,Rate,2009,26.23238116,27.24902272,24.80807844
Deaths,South East England,Female,Age-standardized,Digestive diseases,Rate,2009,20.51843101,21.70110387,18.48772229
Deaths,South East England,Both,Age-standardized,Digestive diseases,Rate,2009,23.41045474,24.45688116,21.60443683
Deaths,South East England,Male,All ages,Musculoskeletal disorders,Number,2009,114.7130418,134.2677339,70.72340617
Deaths,South East England,Female,All ages,Musculoskeletal disorders,Number,2009,320.3291655,398.8639146,156.7254103
Deaths,South East England,Both,All ages,Musculoskeletal disorders,Number,2009,435.0422073,515.3394004,253.2088664
Deaths,South East England,Male,All ages,Musculoskeletal disorders,Rate,2009,2.713982411,3.17662458,1.673236777
Deaths,South East England,Female,All ages,Musculoskeletal disorders,Rate,2009,7.31179114,9.104414932,3.577393476
Deaths,South East England,Both,All ages,Musculoskeletal disorders,Rate,2009,5.054083557,5.986932638,2.94164278
Deaths,South East England,Male,Age-standardized,Musculoskeletal disorders,Rate,2009,1.679238798,1.978784441,1.039940231
Deaths,South East England,Female,Age-standardized,Musculoskeletal disorders,Rate,2009,2.984673039,4.155689701,1.625710848
Deaths,South East England,Both,Age-standardized,Musculoskeletal disorders,Rate,2009,2.443656836,3.050476038,1.513778078
Deaths,South East England,Male,All ages,Chronic respiratory diseases,Number,2009,2762.14719,2914.040625,2550.044763
Deaths,South East England,Female,All ages,Chronic respiratory diseases,Number,2009,2600.87288,2867.50221,2060.694649
Deaths,South East England,Both,All ages,Chronic respiratory diseases,Number,2009,5363.020071,5711.99525,4685.68655
Deaths,South East England,Male,All ages,Chronic respiratory diseases,Rate,2009,65.34931664,68.94294562,60.33121016
Deaths,South East England,Female,All ages,Chronic respiratory diseases,Rate,2009,59.36718018,65.45322599,47.03714336
Deaths,South East England,Both,All ages,Chronic respiratory diseases,Rate,2009,62.30464792,66.3588516,54.43575577
Deaths,South East England,Male,Age-standardized,Chronic respiratory diseases,Rate,2009,39.21281622,41.35622058,36.19161764
Deaths,South East England,Female,Age-standardized,Chronic respiratory diseases,Rate,2009,24.08834053,26.29961817,19.31489903
Deaths,South East England,Both,Age-standardized,Chronic respiratory diseases,Rate,2009,30.13058618,31.97042573,26.50843606
Deaths,South East England,Male,All ages,Skin and subcutaneous diseases,Number,2009,92.20823568,174.4589993,39.52858027
Deaths,South East England,Female,All ages,Skin and subcutaneous diseases,Number,2009,192.620012,340.2575334,112.8096066
Deaths,South East England,Both,All ages,Skin and subcutaneous diseases,Number,2009,284.8282477,449.8611178,175.4084722
Deaths,South East England,Male,All ages,Skin and subcutaneous diseases,Rate,2009,2.181543841,4.127505017,0.935202048
Deaths,South East England,Female,All ages,Skin and subcutaneous diseases,Rate,2009,4.396718905,7.76667343,2.574977152
Deaths,South East England,Both,All ages,Skin and subcutaneous diseases,Rate,2009,3.308979541,5.226241594,2.03780015
Deaths,South East England,Male,Age-standardized,Skin and subcutaneous diseases,Rate,2009,1.339547018,2.501872305,0.57424036
Deaths,South East England,Female,Age-standardized,Skin and subcutaneous diseases,Rate,2009,1.649445449,2.836870857,0.957819273
Deaths,South East England,Both,Age-standardized,Skin and subcutaneous diseases,Rate,2009,1.539596265,2.394261273,0.924577707
Deaths,South East England,Male,All ages,Unintentional injuries,Number,2009,618.1462474,647.2172143,570.5563864
Deaths,South East England,Female,All ages,Unintentional injuries,Number,2009,693.3120349,753.8752212,590.5064906
Deaths,South East England,Both,All ages,Unintentional injuries,Number,2009,1311.458282,1387.458272,1167.568376
Deaths,South East England,Male,All ages,Unintentional injuries,Rate,2009,14.62464962,15.31243622,13.49872667
Deaths,South East England,Female,All ages,Unintentional injuries,Rate,2009,15.82544876,17.20785603,13.47882301
Deaths,South East England,Both,All ages,Unintentional injuries,Rate,2009,15.23580846,16.11873497,13.56417385
Deaths,South East England,Male,Age-standardized,Unintentional injuries,Rate,2009,10.10071266,10.53920523,9.397481269
Deaths,South East England,Female,Age-standardized,Unintentional injuries,Rate,2009,6.498478284,6.950811863,5.753405939
Deaths,South East England,Both,Age-standardized,Unintentional injuries,Rate,2009,8.191211656,8.574240935,7.493525623
Deaths,South East England,Male,All ages,Neoplasms,Number,2009,11660.26658,12183.28756,10939.32564
Deaths,South East England,Female,All ages,Neoplasms,Number,2009,10724.95578,11297.35744,9700.432733
Deaths,South East England,Both,All ages,Neoplasms,Number,2009,22385.22235,23349.33351,20689.32849
Deaths,South East England,Male,All ages,Neoplasms,Rate,2009,275.8688803,288.2429725,258.8122231
Deaths,South East England,Female,All ages,Neoplasms,Rate,2009,244.8064213,257.8719859,221.4207939
Deaths,South East England,Both,All ages,Neoplasms,Rate,2009,260.0593284,271.2598469,240.3573566
Deaths,South East England,Male,Age-standardized,Neoplasms,Rate,2009,169.9442909,177.2991686,159.4411424
Deaths,South East England,Female,Age-standardized,Neoplasms,Rate,2009,120.5187704,125.8169112,111.4663966
Deaths,South East England,Both,Age-standardized,Neoplasms,Rate,2009,140.8037772,146.1163499,131.6985918
Deaths,South East England,Male,All ages,Transport injuries,Number,2009,331.7636827,342.5452745,320.8638984
Deaths,South East England,Female,All ages,Transport injuries,Number,2009,115.040529,121.2708615,107.8621935
Deaths,South East England,Both,All ages,Transport injuries,Number,2009,446.8042117,460.3003109,431.8199474
Deaths,South East England,Male,All ages,Transport injuries,Rate,2009,7.849158084,8.104238502,7.591281365
Deaths,South East England,Female,All ages,Transport injuries,Rate,2009,2.625899891,2.768112637,2.462048154
Deaths,South East England,Both,All ages,Transport injuries,Rate,2009,5.190728122,5.347518456,5.016649096
Deaths,South East England,Male,Age-standardized,Transport injuries,Rate,2009,7.29305913,7.53558276,7.057899459
Deaths,South East England,Female,Age-standardized,Transport injuries,Rate,2009,2.04253008,2.147631338,1.948780587
Deaths,South East England,Both,Age-standardized,Transport injuries,Rate,2009,4.630866343,4.779987268,4.496699702
Deaths,South East England,Male,Age-standardized,Substance use disorders,Rate,2009,6.693919698,7.002779741,6.413421872
Deaths,South East England,Female,Age-standardized,Substance use disorders,Rate,2009,2.261519184,2.361997028,2.159203969
Deaths,South East England,Both,Age-standardized,Substance use disorders,Rate,2009,4.453365761,4.614953217,4.296900403
Deaths,South East England,Male,All ages,Diabetes and kidney diseases,Number,2009,669.6073275,704.7772954,609.9898118
Deaths,South East England,Female,All ages,Diabetes and kidney diseases,Number,2009,747.5191117,806.8100237,640.7474004
Deaths,South East England,Both,All ages,Diabetes and kidney diseases,Number,2009,1417.126439,1508.020833,1250.162354
Deaths,South East England,Male,All ages,Diabetes and kidney diseases,Rate,2009,15.84216128,16.67424343,14.43167746
Deaths,South East England,Female,All ages,Diabetes and kidney diseases,Rate,2009,17.06277232,18.41613883,14.62561537
Deaths,South East England,Both,All ages,Diabetes and kidney diseases,Rate,2009,16.46340359,17.51936518,14.52370572
Deaths,South East England,Male,Age-standardized,Diabetes and kidney diseases,Rate,2009,9.752911845,10.26093421,8.906265951
Deaths,South East England,Female,Age-standardized,Diabetes and kidney diseases,Rate,2009,6.575610909,7.014221867,5.769844808
Deaths,South East England,Both,Age-standardized,Diabetes and kidney diseases,Rate,2009,7.880016262,8.331839695,7.075893411
Deaths,South East England,Male,All ages,Self-harm and interpersonal violence,Number,2009,553.4053581,569.9498557,536.8201786
Deaths,South East England,Female,All ages,Self-harm and interpersonal violence,Number,2009,183.2292557,191.1685382,174.7304599
Deaths,South East England,Both,All ages,Self-harm and interpersonal violence,Number,2009,736.6346138,756.4938645,716.2825537
Deaths,South East England,Male,All ages,Self-harm and interpersonal violence,Rate,2009,13.0929525,13.48437684,12.70056569
Deaths,South East England,Female,All ages,Self-harm and interpersonal violence,Rate,2009,4.182366744,4.363587755,3.988374355
Deaths,South East England,Both,All ages,Self-harm and interpersonal violence,Rate,2009,8.557819971,8.788533935,8.321380815
Deaths,South East England,Male,Age-standardized,Self-harm and interpersonal violence,Rate,2009,11.46821112,11.83279477,11.13293776
Deaths,South East England,Female,Age-standardized,Self-harm and interpersonal violence,Rate,2009,3.524919431,3.676391791,3.386696542
Deaths,South East England,Both,Age-standardized,Self-harm and interpersonal violence,Rate,2009,7.430115393,7.626134282,7.235398697
Deaths,South East England,Male,All ages,Neurological disorders,Number,2009,2257.457668,4404.543303,1271.454622
Deaths,South East England,Female,All ages,Neurological disorders,Number,2009,3665.85471,8026.537991,1541.952958
Deaths,South East England,Both,All ages,Neurological disorders,Number,2009,5923.312377,12431.65566,2819.908009
Deaths,South East England,Male,All ages,Neurological disorders,Rate,2009,53.40892637,104.2065738,30.08119589
Deaths,South East England,Female,All ages,Neurological disorders,Rate,2009,83.67631448,183.212694,35.19641417
Deaths,South East England,Both,All ages,Neurological disorders,Rate,2009,68.81381896,144.4242085,32.76015628
Deaths,South East England,Male,Age-standardized,Neurological disorders,Rate,2009,32.97777106,63.44012311,18.8395616
Deaths,South East England,Female,Age-standardized,Neurological disorders,Rate,2009,30.15763629,64.24587857,14.3618241
Deaths,South East England,Both,Age-standardized,Neurological disorders,Rate,2009,31.4820315,64.24233362,16.28793467
Deaths,South East England,Male,All ages,Mental disorders,Number,2009,0.079558383,0.090978442,0.070049744
Deaths,South East England,Female,All ages,Mental disorders,Number,2009,1.480246992,1.598659388,1.373797412
Deaths,South East England,Both,All ages,Mental disorders,Number,2009,1.559805375,1.679254634,1.451601052
Deaths,South East England,Male,All ages,Mental disorders,Rate,2009,0.001882262,0.002152448,0.001657299
Deaths,South East England,Female,All ages,Mental disorders,Rate,2009,0.033787922,0.036490788,0.031358118
Deaths,South East England,Both,All ages,Mental disorders,Rate,2009,0.01812097,0.019508666,0.016863911
Deaths,South East England,Male,Age-standardized,Mental disorders,Rate,2009,0.002007505,0.002324501,0.001757838
Deaths,South East England,Female,Age-standardized,Mental disorders,Rate,2009,0.035516492,0.038365247,0.03280443
Deaths,South East England,Both,Age-standardized,Mental disorders,Rate,2009,0.01879034,0.020271458,0.017427154
Deaths,South East England,Male,All ages,Other non-communicable diseases,Number,2009,652.0354335,732.6746902,501.0051124
Deaths,South East England,Female,All ages,Other non-communicable diseases,Number,2009,1023.707876,1141.844938,780.7361523
Deaths,South East England,Both,All ages,Other non-communicable diseases,Number,2009,1675.74331,1838.018376,1332.20742
Deaths,South East England,Male,All ages,Other non-communicable diseases,Rate,2009,15.4264299,17.33426462,11.85322123
Deaths,South East England,Female,All ages,Other non-communicable diseases,Rate,2009,23.36702051,26.06360146,17.82098009
Deaths,South East England,Both,All ages,Other non-communicable diseases,Rate,2009,19.46787361,21.35309701,15.47686064
Deaths,South East England,Male,Age-standardized,Other non-communicable diseases,Rate,2009,12.08956569,13.84462061,9.963210248
Deaths,South East England,Female,Age-standardized,Other non-communicable diseases,Rate,2009,11.52897771,12.99912181,9.904328696
Deaths,South East England,Both,Age-standardized,Other non-communicable diseases,Rate,2009,11.87416246,13.2382962,10.39464959
Deaths,South East England,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,31.12515766,36.5601481,27.72801905
Deaths,South East England,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,24.64617503,29.15911951,21.89142714
Deaths,South East England,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,55.77133269,65.84852679,49.76422966
Deaths,South East England,Male,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.736386457,0.864972259,0.656013953
Deaths,South East England,Female,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.56257033,0.665582203,0.499690819
Deaths,South East England,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.647920985,0.764992341,0.578133732
Deaths,South East England,Male,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.688091446,0.898758515,0.563930655
Deaths,South East England,Female,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.509929797,0.684122641,0.40852115
Deaths,South East England,Both,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.602666018,0.795602694,0.488518196
Deaths,South East England,Male,All ages,Respiratory infections and tuberculosis,Number,2009,2026.132282,2154.107309,1830.015748
Deaths,South East England,Female,All ages,Respiratory infections and tuberculosis,Number,2009,2996.971681,3280.112129,2500.624333
Deaths,South East England,Both,All ages,Respiratory infections and tuberculosis,Number,2009,5023.103964,5417.624177,4346.547053
Deaths,South East England,Male,All ages,Respiratory infections and tuberculosis,Rate,2009,47.9360262,50.96377235,43.29612809
Deaths,South East England,Female,All ages,Respiratory infections and tuberculosis,Rate,2009,68.40847899,74.87140537,57.07892011
Deaths,South East England,Both,All ages,Respiratory infections and tuberculosis,Rate,2009,58.35568762,62.93900871,50.49581771
Deaths,South East England,Male,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,29.65854668,31.51648914,26.75673811
Deaths,South East England,Female,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,23.66965408,25.68871718,20.27560428
Deaths,South East England,Both,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,26.08546189,27.92566774,22.87897694
Deaths,South East England,Male,All ages,Enteric infections,Number,2009,90.20970322,98.31299769,80.08515626
Deaths,South East England,Female,All ages,Enteric infections,Number,2009,168.3902046,186.9512838,140.27979
Deaths,South East England,Both,All ages,Enteric infections,Number,2009,258.5999079,283.3103583,219.7432053
Deaths,South East England,Male,All ages,Enteric infections,Rate,2009,2.134260796,2.32597569,1.894725326
Deaths,South East England,Female,All ages,Enteric infections,Rate,2009,3.843652527,4.267325263,3.202007924
Deaths,South East England,Both,All ages,Enteric infections,Rate,2009,3.004272966,3.291345528,2.552856946
Deaths,South East England,Male,Age-standardized,Enteric infections,Rate,2009,1.308477345,1.426606228,1.15844513
Deaths,South East England,Female,Age-standardized,Enteric infections,Rate,2009,1.354478783,1.487860641,1.151952796
Deaths,South East England,Both,Age-standardized,Enteric infections,Rate,2009,1.340913446,1.458068484,1.158772672
Deaths,South East England,Male,All ages,Other infectious diseases,Number,2009,68.56096242,96.56040551,57.74017986
Deaths,South East England,Female,All ages,Other infectious diseases,Number,2009,66.08822206,113.2986644,54.88570102
Deaths,South East England,Both,All ages,Other infectious diseases,Number,2009,134.6491845,188.6836533,116.2788227
Deaths,South East England,Male,All ages,Other infectious diseases,Rate,2009,1.622075774,2.284511317,1.366068148
Deaths,South East England,Female,All ages,Other infectious diseases,Rate,2009,1.508521011,2.58614032,1.252813748
Deaths,South East England,Both,All ages,Other infectious diseases,Rate,2009,1.564280932,2.192023978,1.350864068
Deaths,South East England,Male,Age-standardized,Other infectious diseases,Rate,2009,1.302152433,1.719479988,1.090743017
Deaths,South East England,Female,Age-standardized,Other infectious diseases,Rate,2009,0.960496022,1.285741925,0.842142302
Deaths,South East England,Both,Age-standardized,Other infectious diseases,Rate,2009,1.123409067,1.412199166,1.003236422
Deaths,South East England,Male,All ages,Maternal and neonatal disorders,Number,2009,118.4688933,131.7601234,98.19604976
Deaths,South East England,Female,All ages,Maternal and neonatal disorders,Number,2009,102.5490407,114.011882,86.11149897
Deaths,South East England,Both,All ages,Maternal and neonatal disorders,Number,2009,221.017934,240.8368251,190.7974619
Deaths,South East England,Male,All ages,Maternal and neonatal disorders,Rate,2009,2.802841661,3.117297317,2.323208832
Deaths,South East England,Female,All ages,Maternal and neonatal disorders,Rate,2009,2.340770832,2.602420131,1.96556968
Deaths,South East England,Both,All ages,Maternal and neonatal disorders,Rate,2009,2.56766605,2.79791114,2.216581055
Deaths,South East England,Male,Age-standardized,Maternal and neonatal disorders,Rate,2009,4.44474884,4.944273949,3.683899743
Deaths,South East England,Female,Age-standardized,Maternal and neonatal disorders,Rate,2009,3.949025819,4.406751922,3.300269251
Deaths,South East England,Both,Age-standardized,Maternal and neonatal disorders,Rate,2009,4.206053497,4.587185274,3.623056154
Deaths,South East England,Male,All ages,Substance use disorders,Number,2009,312.361354,326.1014611,299.2387725
Deaths,South East England,Female,All ages,Substance use disorders,Number,2009,117.0295476,122.3727079,111.6856696
Deaths,South East England,Both,All ages,Substance use disorders,Number,2009,429.3909016,444.2752591,414.6532604
Deaths,South East England,Male,All ages,Substance use disorders,Rate,2009,7.390120664,7.715196248,7.079655046
Deaths,South East England,Female,All ages,Substance use disorders,Rate,2009,2.671300966,2.793263237,2.549322315
Deaths,South East England,Both,All ages,Substance use disorders,Rate,2009,4.988429764,5.161348128,4.817215871
Deaths,England,Male,All ages,Neoplasms,Number,2009,72117.98491,74538.40271,68161.62563
Deaths,England,Female,All ages,Neoplasms,Number,2009,66762.54226,69605.41786,60744.99893
Deaths,England,Both,All ages,Neoplasms,Number,2009,138880.5272,143724.9224,129419.5374
Deaths,England,Male,All ages,Neoplasms,Rate,2009,277.5705061,286.8863043,262.3431166
Deaths,England,Female,All ages,Neoplasms,Rate,2009,248.3455416,258.9205655,225.9612823
Deaths,England,Both,All ages,Neoplasms,Rate,2009,262.7089591,271.8727062,244.8123769
Deaths,England,Male,Age-standardized,Neoplasms,Rate,2009,180.1485941,186.1368519,169.9836045
Deaths,England,Female,Age-standardized,Neoplasms,Rate,2009,129.5461231,133.9570517,120.4531852
Deaths,England,Both,Age-standardized,Neoplasms,Rate,2009,150.3624956,154.9282292,141.6700867
Deaths,England,Male,All ages,Mental disorders,Number,2009,0.427280283,0.463922242,0.390705125
Deaths,England,Female,All ages,Mental disorders,Number,2009,9.235416941,9.687910475,8.846781697
Deaths,England,Both,All ages,Mental disorders,Number,2009,9.662697224,10.13918253,9.265964122
Deaths,England,Male,All ages,Mental disorders,Rate,2009,0.001644533,0.001785562,0.001503761
Deaths,England,Female,All ages,Mental disorders,Rate,2009,0.034354213,0.036037414,0.032908555
Deaths,England,Both,All ages,Mental disorders,Rate,2009,0.018278136,0.019179464,0.017527668
Deaths,England,Male,Age-standardized,Mental disorders,Rate,2009,0.001691827,0.001838115,0.001542271
Deaths,England,Female,Age-standardized,Mental disorders,Rate,2009,0.035064107,0.036957837,0.033577686
Deaths,England,Both,Age-standardized,Mental disorders,Rate,2009,0.018394433,0.019384831,0.017636924
Deaths,England,Male,All ages,Neglected tropical diseases and malaria,Number,2009,2.496163167,3.120549148,1.127222762
Deaths,England,Female,All ages,Neglected tropical diseases and malaria,Number,2009,2.031152161,2.578689716,1.061709696
Deaths,England,Both,All ages,Neglected tropical diseases and malaria,Number,2009,4.527315328,5.377113885,2.576098702
Deaths,England,Male,All ages,Neglected tropical diseases and malaria,Rate,2009,0.00960733,0.012010491,0.004338499
Deaths,England,Female,All ages,Neglected tropical diseases and malaria,Rate,2009,0.007555548,0.009592296,0.003949383
Deaths,England,Both,All ages,Neglected tropical diseases and malaria,Rate,2009,0.008563953,0.010171448,0.004872996
Deaths,England,Male,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.009060125,0.011261408,0.003487079
Deaths,England,Female,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.006941303,0.008363586,0.002559213
Deaths,England,Both,Age-standardized,Neglected tropical diseases and malaria,Rate,2009,0.007900722,0.009467666,0.003428639
Deaths,England,Male,All ages,Chronic respiratory diseases,Number,2009,18132.89934,18852.33076,16850.02362
Deaths,England,Female,All ages,Chronic respiratory diseases,Number,2009,17784.64912,19283.29198,12751.19049
Deaths,England,Both,All ages,Chronic respiratory diseases,Number,2009,35917.54846,37965.44917,30707.99003
Deaths,England,Male,All ages,Chronic respiratory diseases,Rate,2009,69.79060846,72.55958409,64.85302648
Deaths,England,Female,All ages,Chronic respiratory diseases,Rate,2009,66.15593366,71.73063558,47.43230561
Deaths,England,Both,All ages,Chronic respiratory diseases,Rate,2009,67.94229517,71.81614182,58.08779864
Deaths,England,Male,Age-standardized,Chronic respiratory diseases,Rate,2009,44.74222538,46.55031281,41.49064526
Deaths,England,Female,Age-standardized,Chronic respiratory diseases,Rate,2009,29.21624165,31.43065738,20.98644728
Deaths,England,Both,Age-standardized,Chronic respiratory diseases,Rate,2009,35.3924149,37.23172747,30.36210925
Deaths,West Sussex,Male,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,2.313596075,2.791730922,1.987834416
Deaths,West Sussex,Female,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,2.288438214,2.659277046,2.013674783
Deaths,West Sussex,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,2009,4.602034289,5.402276361,4.040549621
Deaths,West Sussex,Male,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.592894783,0.715424234,0.509413319
Deaths,West Sussex,Female,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.548999699,0.637964481,0.483083547
Deaths,West Sussex,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,2009,0.570223393,0.669378836,0.500651618
Deaths,West Sussex,Male,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.568696762,0.767089467,0.44229494
Deaths,West Sussex,Female,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.473734097,0.642111442,0.374301676
Deaths,West Sussex,Both,Age-standardized,HIV/AIDS and sexually transmitted infections,Rate,2009,0.524687973,0.704293771,0.411882587
Deaths,West Sussex,Male,All ages,Respiratory infections and tuberculosis,Number,2009,235.7689268,261.6369411,205.9815527
Deaths,West Sussex,Female,All ages,Respiratory infections and tuberculosis,Number,2009,354.7961006,403.258907,290.9087098
Deaths,West Sussex,Both,All ages,Respiratory infections and tuberculosis,Number,2009,590.5650274,656.008487,500.5152164
Deaths,West Sussex,Male,All ages,Respiratory infections and tuberculosis,Rate,2009,60.41943458,67.04851339,52.78595918
Deaths,West Sussex,Female,All ages,Respiratory infections and tuberculosis,Rate,2009,85.11610723,96.74240588,69.78942806
Deaths,West Sussex,Both,All ages,Respiratory infections and tuberculosis,Rate,2009,73.17502924,81.28391962,62.01724432
Deaths,West Sussex,Male,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,29.15750229,32.30265486,25.56742967
Deaths,West Sussex,Female,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,22.6175995,25.46174813,19.05441002
Deaths,West Sussex,Both,Age-standardized,Respiratory infections and tuberculosis,Rate,2009,25.1956007,27.84512138,21.71335245
Deaths,West Sussex,Male,All ages,Enteric infections,Number,2009,11.16333869,13.30090685,9.250980523
Deaths,West Sussex,Female,All ages,Enteric infections,Number,2009,20.01769577,23.88152725,15.76253841
Deaths,West Sussex,Both,All ages,Enteric infections,Number,2009,31.18103446,36.57468491,25.45865207
Deaths,West Sussex,Male,All ages,Enteric infections,Rate,2009,2.860778224,3.408563131,2.370706861
Deaths,West Sussex,Female,All ages,Enteric infections,Rate,2009,4.802274705,5.72921357,3.781456186
Deaths,West Sussex,Both,All ages,Enteric infections,Rate,2009,3.863542543,4.531852571,3.15450039
Deaths,West Sussex,Male,Age-standardized,Enteric infections,Rate,2009,1.363824176,1.608888816,1.137191114
Deaths,West Sussex,Female,Age-standardized,Enteric infections,Rate,2009,1.296689223,1.528979949,1.047355298
Deaths,West Sussex,Both,Age-standardized,Enteric infections,Rate,2009,1.325831693,1.556013119,1.099934578
Deaths,West Sussex,Male,All ages,Other infectious diseases,Number,2009,7.551254057,10.63589909,6.259605796
Deaths,West Sussex,Female,All ages,Other infectious diseases,Number,2009,7.417361282,13.01661352,6.072858205
Deaths,West Sussex,Both,All ages,Other infectious diseases,Number,2009,14.96861534,21.83710446,12.7699347
Deaths,West Sussex,Male,All ages,Other infectious diseases,Rate,2009,1.935125662,2.725613666,1.604120814
Deaths,West Sussex,Female,All ages,Other infectious diseases,Rate,2009,1.779435899,3.122704761,1.45688763
